aeid	kind	name	confidence	vr	vr_offset	sse_1_5_97	sse_route	flags	db_name	site
19689	pointer	s_removeInventoryItem	auto-diff	0x14029f110	0x29f110	0x14028d9e0	addr-match			Code/client/Games/Skyrim/TESObjectREFR.cpp:1108
19702	pointer	s_getContainer	auto-diff	0x14029fac0	0x29fac0	0x14028e390	addr-match			Code/client/Games/Skyrim/TESObjectREFR.cpp:433
19708	pointer	s_addInventoryItem	auto-diff	0x14029fdb0	0x29fdb0	0x14028e680	addr-match			Code/client/Games/Skyrim/TESObjectREFR.cpp:1107
19742	pointer	s_SpawnActorInWorld	auto-diff	0x1402a5710	0x2a5710	0x140294000	both			Code/client/Games/Skyrim/Actor.cpp:1278
19784	pointer	refrGetWorldLocation	auto-diff	0x1402a7ba0	0x2a7ba0	0x1402964a0	addr-match			Code/client/Services/Debug/Views/CombatView.cpp:77
19787	pointer	s_rotateX	auto-diff	0x1402a7d80	0x2a7d80	0x140296680	both			Code/client/Games/Skyrim/TESObjectREFR.cpp:1103
19788	pointer	s_rotateY	auto-diff	0x1402a7e40	0x2a7e40	0x140296740	both			Code/client/Games/Skyrim/TESObjectREFR.cpp:1104
19789	pointer	s_rotateZ	auto-diff	0x1402a7f00	0x2a7f00	0x140296800	both			Code/client/Games/Skyrim/TESObjectREFR.cpp:1105
19790	pointer	s_setPosition	curated-verified	0x1402a8010	0x2a8010	0x140296910	both		void TESObjectREFR::SetPosition(const NiPoint3& a_pos)	Code/client/Games/Skyrim/Actor.cpp:1271
19796	pointer	s_activate	curated-identical	0x1402a8300	0x2a8300	0x140296c00	addr-match		bool TESObjectREFR::ActivateRef(TESObjectREFR* a_activator	Code/client/Games/Skyrim/TESObjectREFR.cpp:1106
19800	pointer	s_enable	curated-identical	0x1402a9890	0x2a9890	0x140298190	both		void TESObjectREFR::Enable(bool a_resetInventory)	Code/client/Games/Skyrim/TESObjectREFR.cpp:908
19812	pointer	s_GetActorLocation	curated-verified	0x1402aabf0	0x2aabf0	0x1402994f0	both		BGSLocation* TESObjectREFR::GetCurrentLocation()	Code/client/Games/Skyrim/Actor.cpp:1276
19846	pointer	s_getHandle	auto-diff	0x1402ad090	0x2ad090	0x14029b980	addr-match			Code/client/Games/Skyrim/TESObjectREFR.cpp:123
20203	pointer	getLocationEncounterZone	auto-diff	0x1402b8480	0x2b8480	0x1402a6d10	addr-match			Code/client/Services/Debug/Views/CombatView.cpp:36
20221	pointer	realCreateLock	curated-verified	0x1402b89e0	0x2b89e0	0x1402a7270	addr-match		REFR_LOCK* TESObjectREFR::AddLock()	Code/client/Games/Skyrim/TESObjectREFR.cpp:384
20223	pointer	realGetLock	curated-verified	0x1402b8c30	0x2b8c30	0x1402a74c0	addr-match		RE::TESObjectREFR::GetLock	Code/client/Games/Skyrim/TESObjectREFR.cpp:376
20460	pointer	s_loadCell	curated-identical	0x1402c3850	0x2c3850	0x1402b20e0	addr-match		TESWorldSpace * TESWorldSpace::sub_1402B20E0 (TESWorldSpace * a_this)	Code/client/Games/Skyrim/Forms/TESWorldSpace.cpp:6
21600	pointer	isFirstPerson	auto-diff	0x1402ed9a0	0x2ed9a0	0x1402dc490	addr-match			Code/client/Games/Skyrim/Camera/PlayerCamera.cpp:15
21622	pointer	hasPerk	auto-diff	0x1402ee440	0x2ee440	0x1402dcf30	addr-match			Code/client/Games/Skyrim/Magic/MagicTarget.cpp:234
23231	pointer	CompleteAll	auto-diff	0x140332a90	0x332a90	0x1403232e0	addr-match			Code/client/Games/Skyrim/Forms/TESQuest.cpp:43
24568	pointer	GetSomeIdleProperty	auto-diff	0x140367980	0x367980	0x1403580c0	addr-match			Code/client/Games/Skyrim/AnimationExperiments.cpp:255
24987	pointer	SetStopped	auto-diff	0x14037f980	0x37f980	0x14036ffe0	addr-match			Code/client/Games/Skyrim/Forms/TESQuest.cpp:69
24991	pointer	SetCompleted	curated-verified	0x14037fc30	0x37fc30	0x140370290	both		TESQuest::CompleteQuest	Code/client/Games/Skyrim/Forms/TESQuest.cpp:36
25003	pointer	SetRunning	curated-verified	0x1403802b0	0x3802b0	0x140370910	both		RE::TESQuest::EnsureQuestStarted	Code/client/Games/Skyrim/Forms/TESQuest.cpp:87
25004	pointer	SetStage	auto-diff	0x1403803d0	0x3803d0	0x140370a30	addr-match			Code/client/Games/Skyrim/Forms/TESQuest.cpp:96
25066	pointer	getAliasedRef	curated-verified	0x140388110	0x388110	0x140378760	both		RE::TESQuest::CreateRefHandleByAliasID	Code/client/Games/Skyrim/Forms/TESQuest.cpp:10
26231	pointer	updateWeather	curated-weak	0x1403c1a20	0x3c1a20	0x1403b1c80	both		papyrus_extender::events::game::weatherevent::target_0x416	Code/client/Games/Skyrim/Sky/Sky.cpp:93
26241	pointer	setWeather	curated-identical	0x1403c47c0	0x3c47c0	0x1403b49a0	addr-match		RE::Sky::SetWeather	Code/client/Games/Skyrim/Sky/Sky.cpp:91
26242	pointer	resetWeather	curated-identical	0x1403c4840	0x3c4840	0x1403b4a20	addr-match		RE::Sky::ResetWeather	Code/client/Games/Skyrim/Sky/Sky.cpp:41
26243	pointer	forceWeather	curated-identical	0x1403c48c0	0x3c48c0	0x1403b4aa0	addr-match		RE::Sky::ForceWeather	Code/client/Games/Skyrim/Sky/Sky.cpp:92
26244	pointer	releaseWeatherOverride	auto-diff	0x1403c4970	0x3c4970	0x1403b4b50	addr-match			Code/client/Games/Skyrim/Sky/Sky.cpp:33
26503	pointer	s_getDifficultyMultiplier	curated-identical	0x1403d0a80	0x3d0a80	0x1403c1200	addr-match		float GetDifficultyMultiplier(uint32_t a_difficulty	Code/client/Games/References.cpp:56
27040	pointer	CreateTints	curated-weak	0x1403eada0	0x3eada0	0x1403db420	addr-match		ApplyMasksToRenderTargets	Code/client/Systems/FaceGenSystem.cpp:64
27244	pointer	s_calculateExperience	auto-diff	0x1403f2ff0	0x3f2ff0	0x1403e3640	addr-match			Code/client/Games/Skyrim/PlayerCharacter.cpp:251
32802	pointer	sub_1404ECF50	auto-diff	0x1404fd1c0	0x4fd1c0	0x1404ecf50	addr-match			Code/client/Games/Skyrim/AnimationExperiments.cpp:338
32803	pointer	sub_1404ED090	auto-diff	0x1404fd300	0x4fd300	0x1404ed090	addr-match			Code/client/Games/Skyrim/AnimationExperiments.cpp:375
32883	pointer	InternalRevertAnimationGraphManager	auto-diff	0x140500890	0x500890	0x1404f0620	addr-match			Code/client/Games/IAnimationGraphManagerHolder.cpp:34
32885	pointer	InternalSetBoolVariable	curated-verified	0x140500950	0x500950	0x1404f06e0	both		bool IAnimationGraphManagerHolder::SetGraphVariableBool(const BSFixedString& a_variableName	Code/client/Games/IAnimationGraphManagerHolder.cpp:26
32886	pointer	InternalSetIntVariable	curated-verified	0x140500970	0x500970	0x1404f0700	both		bool IAnimationGraphManagerHolder::SetGraphVariableInt(const BSFixedString& a_variableName	Code/client/Games/IAnimationGraphManagerHolder.cpp:18
32887	pointer	InternalSetFloatVariable	curated-verified	0x140500990	0x500990	0x1404f0720	both		bool IAnimationGraphManagerHolder::SetGraphVariableFloat(const BSFixedString& a_variableName	Code/client/Games/IAnimationGraphManagerHolder.cpp:10
33235	pointer	setTarget	auto-diff	0x14050e480	0x50e480	0x1404fdfe0	addr-match			Code/client/Games/Skyrim/Combat/CombatController.cpp:73
33236	pointer	s_updateTarget	auto-diff	0x14050e7a0	0x50e7a0	0x1404fe300	addr-match			Code/client/Games/Skyrim/Combat/CombatController.cpp:81
33261	pointer	checkMovement	auto-diff	0x14050ff00	0x50ff00	0x1404ffa60	addr-match			Code/client/Services/Debug/Views/CombatView.cpp:97
33282	pointer	sortTargetSelectors	auto-diff	0x140510b20	0x510b20	0x140500680	both			Code/client/Games/Skyrim/Combat/CombatController.cpp:11
33285	pointer	arrayQuickSort	auto-diff	0x140510c90	0x510c90	0x1405007f0	addr-match			Code/client/Games/Skyrim/Combat/CombatController.cpp:8
34053	pointer	adjustForPerks	auto-diff	0x140540cc0	0x540cc0	0x14053df40	addr-match			Code/client/Games/Skyrim/Magic/MagicTarget.cpp:233
34140	pointer	s_interruptCast	auto-diff	0x140545640	0x545640	0x140541d90	addr-match			Code/client/Games/Skyrim/Magic/ActorMagicCaster.cpp:63
34144	pointer	s_spellCast	auto-diff	0x140546260	0x546260	0x140542470	both			Code/client/Games/Skyrim/Magic/ActorMagicCaster.cpp:62
34370	pointer	s_finish	auto-diff	0x14054f500	0x54f500	0x14054b2f0	addr-match			Code/client/Games/Skyrim/Effects/InvisibilityEffect.cpp:27
34401	pointer	s_castSpell	override	0x140550540	0x550540		none		MagicCaster::CastSpell - call graph, four-argument spill matches SE 0x1405BB720	Code/client/Games/Skyrim/Magic/MagicCaster.cpp:7
34408	pointer	s_interruptCast	curated-identical	0x140550d40	0x550d40	0x14054cb70	addr-match		void MagicCaster::InterruptCast(bool a_refund) src\RE\M/MagicCaster.cpp:40	Code/client/Games/Skyrim/Magic/MagicCaster.cpp:16
34410	pointer	findTargets	curated-verified	0x140550ec0	0x550ec0	0x14054cd10	addr-match		bool MagicCaster::FindTargets(float a_effectivenessMult	Code/client/Games/Skyrim/Magic/MagicTarget.cpp:232
34452	hook	hookLoc	curated-verified	0x140554980	0x554980	0x1405506c0	addr-match		MagicCaster::LaunchSpell	Code/client/Games/Skyrim/Projectiles/Projectile.cpp:123
34512	pointer	dispelAllSpells	addrlib	0x140557070	0x557070	0x140552e10	addr-match			Code/client/Games/Skyrim/Magic/MagicTarget.cpp:41
34525	pointer	checkAddEffectTargetData	curated-verified	0x140557830	0x557830	0x1405535c0	addr-match		bool MagicTarget::AddTargetData::CheckAddEffect(MagicTarget::AddTargetData* a_this	Code/client/Games/Skyrim/Magic/MagicTarget.cpp:231
34526	pointer	addTarget	curated-weak	0x1405579c0	0x5579c0	0x140553750	id-map		papyrus_extender::events::game::magictargetapply_0x1e8	Code/client/Games/Skyrim/Magic/MagicTarget.cpp:230
34529	pointer	getTargetAsActor	auto-diff	0x140557f80	0x557f80	0x140553e90	addr-match			Code/client/Games/Skyrim/Magic/MagicTarget.cpp:77
34989	pointer	s_start	auto-diff	0x140569920	0x569920	0x1405636b0	addr-match			Code/client/Games/Skyrim/Effects/SummonCreatureEffect.h:30
35086	pointer	s_applyActorEffect	auto-diff	0x14056e070	0x56e070	0x140567a80	addr-match			Code/client/Games/Skyrim/Actor.cpp:1280
35269	pointer	s_playDialogueOption	auto-diff	0x140574bf0	0x574bf0	0x14056e5f0	addr-match			Code/client/Games/Misc/MenuTopicManager.cpp:40
35503	pointer	internalGetChangeFlags	override	0x14057f650	0x57f650	0x140577ef0	addr-match		internalGetChangeFlags - six call sites pair one for one with SE 0x140600930	Code/client/Games/Forms.cpp:102
35993	pointer	ctor	UNMAPPED				none			Code/client/Games/SaveLoad.cpp:49
36000	pointer	s_readFormId	auto-diff	0x14059f160	0x59f160	0x140597aa0	addr-match			Code/client/Games/SaveLoad.cpp:119
36035	pointer	ctor	auto-diff	0x1405a0b00	0x5a0b00	0x140599440	both			Code/client/Games/SaveLoad.cpp:20
36047	pointer	s_writeId	auto-diff	0x1405a0ff0	0x5a0ff0	0x140599930	both			Code/client/Games/SaveLoad.cpp:121
36048	pointer	s_writeFormId	auto-diff	0x1405a1070	0x5a1070	0x1405999b0	addr-match			Code/client/Games/SaveLoad.cpp:120
36165	pointer	addWeaponEnchantment	curated-identical	0x1405a67b0	0x5a67b0	0x14059f0f0	addr-match		EnchantmentItem* BGSCreatedObjectManager::AddWeaponEnchantment(BSTArray<Effect>& a_effects)	Code/client/Games/Skyrim/Forms/EnchantmentItem.cpp:11
36166	pointer	addArmorEnchantment	curated-identical	0x1405a6850	0x5a6850	0x14059f190	addr-match		EnchantmentItem* BGSCreatedObjectManager::AddArmorEnchantment(BSTArray<Effect>& a_effects)	Code/client/Games/Skyrim/Forms/EnchantmentItem.cpp:13
36291	pointer	s_SimulateTime	curated-identical	0x1405ad8f0	0x5ad8f0	0x1405a6230	addr-match		void Calendar::Update_1405a6230 (Calendar * a_this	Code/client/Games/TimeManager.cpp:25
36544	pointer	winMain	override	0x1405b4290	0x5b4290		none		winMain - target of the CRT invoke_main call sequence in SkyrimVR.exe	Code/client/TiltedOnlineApp.cpp:49
36548	hook	MainInit	override	0x1405b65e0	0x5b65e0		none		MainInit - second call out of WinMain, prologue identical to SE 0x140641190	Code/client/Games/Skyrim/Interface/UI.cpp:139
36564	pointer	cMainLoop	override	0x1405bab10	0x5bab10		none		cMainLoop - callee of the Sleep(50) main-loop block in SkyrimVR.exe	Code/client/SkyrimVM64.cpp:48
37147	pointer	sub_1405CCB20	auto-diff	0x1405d5120	0x5d5120	0x1405ccb20	addr-match			Code/client/Games/Skyrim/AnimationExperiments.cpp:337
37175	pointer	s_characterDtor	auto-diff	0x1405d63a0	0x5d63a0	0x1405cdda0	addr-match			Code/client/Games/Skyrim/Actor.cpp:1275
37198	pointer	addDeathItems	curated-identical	0x1405d80a0	0x5d80a0	0x1405cfac0	addr-match		void Actor::AddDeathItems()	Code/client/Games/Skyrim/Actor.cpp:1290
37313	pointer	s_ForceState	auto-diff	0x1405dc650	0x5dc650	0x1405d4090	addr-match			Code/client/Games/Skyrim/Actor.cpp:1277
37334	pointer	s_getLevel	curated-verified	0x1405de910	0x5de910	0x1405d62e0	addr-match		RE::Actor::GetLevel	Code/client/Games/Skyrim/Actor.cpp:149
37335	pointer	s_damageActor	curated-verified	0x1405de930	0x5de930	0x1405d6300	addr-match		Actor::DamageHealth	Code/client/Games/Skyrim/Actor.cpp:1279
37356	pointer	s_actorProcess	auto-diff	0x1405e0e20	0x5e0e20	0x1405d87f0	addr-match			Code/client/Games/Skyrim/Actor.cpp:1270
37448	pointer	s_regenAttributes	curated-verified	0x1405e9b60	0x5e9b60	0x1405e1510	addr-match		float TESObjectREFR::GetSubmergeLevel_1405E1510 (TESObjectREFR * a_this	Code/client/Games/Skyrim/Actor.cpp:1281
37511	pointer	s_payGoldToContainer	auto-diff	0x1405ee4f0	0x5ee4f0	0x1405e5dd0	addr-match			Code/client/Games/Skyrim/TESObjectREFR.cpp:369
37521	pointer	s_pickUpObject	auto-diff	0x1405eeca0	0x5eeca0	0x1405e6580	addr-match			Code/client/Games/Skyrim/Actor.cpp:1283
37525	pointer	s_addInventoryItem	auto-diff	0x1405ef640	0x5ef640	0x1405e6f20	addr-match			Code/client/Games/Skyrim/Actor.cpp:1282
37527	pointer	s_getGoldAmount	auto-diff	0x1405efa10	0x5efa10	0x1405e72f0	addr-match			Code/client/Games/Skyrim/Actor.cpp:679
37542	pointer	s_speakSoundFunction	curated-verified	0x1405f0e20	0x5f0e20	0x1405e8700	addr-match		po3tweaks::VoiceModulation::SetObjectToFollow	Code/client/Games/Skyrim/Actor.cpp:1289
37577	pointer	isFleeing	auto-diff	0x1405f5280	0x5f5280	0x1405ecb70	addr-match			Code/client/Games/Skyrim/Actor.cpp:1291
37677	pointer	s_setFactionRankInternal	auto-diff	0x140600220	0x600220	0x1405f7ab0	addr-match			Code/client/Games/Skyrim/Actor.cpp:768
37698	pointer	getPerkRank	curated-verified	0x1406025a0	0x6025a0	0x1405f9e30	addr-match		RE::Actor::HasPerk	Code/client/Games/Skyrim/Actor.cpp:381
37717	pointer	setPlayerTeammate	override	0x140602f40	0x602f40		none		Actor::SetPlayerTeammate - compares this against the player singleton exactly as SE 0x14068D690	Code/client/Games/Skyrim/Actor.cpp:776
37757	pointer	getDetectionState	auto-diff	0x140604f30	0x604f30	0x1405fc740	addr-match			Code/client/Services/Debug/Views/CombatView.cpp:51
37905	pointer	s_initiateMountPackage	auto-diff	0x14060e300	0x60e300	0x140605b10	addr-match			Code/client/Games/Skyrim/Actor.cpp:1287
37975	pointer	s_unequipObject	auto-diff	0x140612420	0x612420	0x140609860	both			Code/client/Games/Skyrim/Actor.cpp:1288
38533	pointer	s_setNoBleedoutRecovery	auto-diff	0x14062c950	0x62c950	0x140623ba0	addr-match			Code/client/Games/Skyrim/Actor.cpp:308
38717	pointer	s_removeSpell	curated-verified	0x1406385f0	0x6385f0	0x14062f720	both		bool Actor::RemoveSpell(SpellItem* a_spell)	Code/client/Games/Skyrim/Actor.cpp:1272
38757	pointer	s_interruptCast	curated-verified	0x14063ab50	0x63ab50	0x140631c80	both		void Actor::InterruptCast(bool a_restoreMagicka)	Code/client/Games/Skyrim/Actor.cpp:449
38894	pointer	s_equipFunc	curated-identical	0x140640a90	0x640a90	0x140637a80	addr-match		RE::ActorEquipManager::EquipObject	Code/client/Games/Skyrim/EquipManager.cpp:73
38896	pointer	s_equipFunc	auto-diff	0x140640c40	0x640c40	0x140637c30	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:97
38897	pointer	s_equipFunc	curated-weak	0x140640cb0	0x640cb0	0x140637ca0	both		void ActorEquipManager::EquipShout(Actor* a_actor	Code/client/Games/Skyrim/EquipManager.cpp:117
38899	pointer	s_unequipAll	curated-identical	0x140640f30	0x640f30	0x140637f20	addr-match		void FUN_140637f20 (undefined8 param_1	Code/client/Games/Skyrim/EquipManager.cpp:137
38901	pointer	s_unequipFunc	curated-identical	0x1406411a0	0x6411a0	0x140638190	both		RE::ActorEquipManager::UnequipObject	Code/client/Games/Skyrim/EquipManager.cpp:85
38903	pointer	s_unequipFunc	auto-diff	0x1406413c0	0x6413c0	0x1406383b0	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:107
38928	pointer	s_equipSpellFunc	auto-diff	0x140642b80	0x642b80	0x140639b70	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:313
38929	pointer	s_equipFunc	auto-diff	0x140642e30	0x642e30	0x140639e20	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:311
38930	pointer	s_equipShoutFunc	auto-diff	0x1406430e0	0x6430e0	0x14063a0d0	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:315
38933	pointer	s_unequipSpellFunc	auto-diff	0x140643470	0x643470	0x14063a460	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:314
38934	pointer	s_unequipFunc	auto-diff	0x1406436c0	0x6436c0	0x14063a6b0	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:312
38935	pointer	s_unequipShoutFunc	auto-diff	0x140643910	0x643910	0x14063a900	addr-match			Code/client/Games/Skyrim/EquipManager.cpp:316
38949	pointer	performAction	override	0x140643f20	0x643f20		none		performAction - call graph, opening sequence identical to SE 0x1406CD0D0	Code/client/Games/Animation.cpp:186
38952	pointer	PerformIdleAction	addrlib	0x140644070	0x644070	0x14063b060	addr-match			Code/client/Games/Skyrim/AnimationExperiments.cpp:286
38953	pointer	PerformComplexAction	auto-diff	0x140644160	0x644160	0x14063b0f0	addr-match			Code/client/Games/Animation.cpp:111
38959	pointer	s_initFromPackage	auto-diff	0x140644510	0x644510	0x14063b4a0	addr-match			Code/client/Games/References.cpp:137
38979	pointer	setWeaponState	auto-diff	0x140645240	0x645240	0x14063c1d0	addr-match			Code/client/Games/Skyrim/Misc/ActorState.cpp:6
39002	pointer	sub_14063CAA0	auto-diff	0x140645b10	0x645b10	0x14063caa0	addr-match			Code/client/Games/Skyrim/AnimationExperiments.cpp:335
39004	pointer	ApplyAnimationVariables	curated-verified	0x140646160	0x646160	0x14063d0f0	addr-match		HandleAction	Code/client/Games/Animation.cpp:110
39114	pointer	s_checkForNewPackage	auto-diff	0x14064c170	0x64c170	0x140642e20	addr-match			Code/client/Games/References.cpp:136
39643	pointer	s_processResponse	auto-diff	0x14066dd50	0x66dd50	0x140664a00	addr-match			Code/client/Games/Skyrim/Actor.cpp:1286
39895	pointer	knockExplosion	curated-identical	0x140686920	0x686920	0x14067d4a0	addr-match		void AIProcess::KnockExplosion(Actor* a_actor	Code/client/Games/Skyrim/AI/AIProcess.cpp:6
40245	pointer	s_characterCtor	curated-identical	0x14069bec0	0x69bec0	0x1406928c0	addr-match		Character * Character::ctor (Character * a_this)	Code/client/Games/Skyrim/Actor.cpp:1273
40246	pointer	s_characterCtor2	auto-diff	0x14069bfc0	0x69bfc0	0x1406929c0	addr-match			Code/client/Games/Skyrim/Actor.cpp:1274
40255	pointer	QueueUpdate	curated-verified	0x14069c710	0x69c710	0x140693110	both		RE::Actor::DoReset3D	Code/client/Games/Skyrim/Actor.cpp:168
40412	pointer	cVMDestructor	addrlib	0x1406a3a30	0x6a3a30	0x140699df0	addr-match			Code/client/SkyrimVM64.cpp:50
40454	pointer	s_dropObject	auto-diff	0x1406c00f0	0x6c00f0	0x14069f910	addr-match			Code/client/Games/Skyrim/Actor.cpp:1284
40488	pointer	s_addSkillExperience	curated-verified	0x1406c30b0	0x6c30b0	0x1406a2540	addr-match		RE::PlayerCharacter::AddSkillExperience	Code/client/Games/Skyrim/PlayerCharacter.cpp:250
40533	pointer	s_pickUpObject	auto-diff	0x1406c6e00	0x6c6e00	0x1406a5300	addr-match			Code/client/Games/Skyrim/PlayerCharacter.cpp:248
40535	pointer	s_setWaypoint	auto-diff	0x1406c74d0	0x6c74d0	0x1406a59d0	addr-match			Code/client/Games/Skyrim/PlayerCharacter.cpp:252
40536	pointer	s_removeWaypoint	auto-diff	0x1406c7630	0x6c7630	0x1406a5b30	addr-match			Code/client/Games/Skyrim/PlayerCharacter.cpp:253
42345	pointer	setEnabled	curated-verified	0x14072c0a0	0x72c0a0	0x140705250	both		RE::PlayerControls::SetActivateHandlerBlocked	Code/client/Games/Skyrim/AI/Movement/PlayerControls.cpp:13
